"Descrição","Acurácia","F1-Score","Recall","Precisão","MCC"
"adult.dat , MLP , Normalizado , Split # 0",0.7928533522023704,0.3522020542915505,0.640509407810108,0.6230038784284575,0.7521186498995985
"adult.dat , MlP , Padronizado , Split # 0",0.8441535467893154,0.5512937286086915,0.7687502452240798,0.7458843736801357,0.8090118849913588
"adult.dat , MLP , Normalizado , Split # 0",0.7976295772156378,0.3786039395678062,0.6643739686894171,0.6435278305443699,0.7496744751742606
"adult.dat , MlP , Padronizado , Split # 0",0.8443304440120291,0.5593974246947089,0.7765152207742405,0.7597614978012615,0.8011661479894201
"adult.dat , MLP , Normalizado , Split # 0",0.7932071466477977,0.3466385773303456,0.6097357750380572,0.6000273289539859,0.8003136856450513
"adult.dat , MlP , Padronizado , Split # 0",0.839908013444189,0.5534763265484408,0.7753144915941749,0.7637612950163941,0.7903534842275817
"adult.dat , MLP , Normalizado , Split # 0",0.8005483813904122,0.3804757718273616,0.649574022297897,0.6296745437172615,0.7790867983759034
"adult.dat , MlP , Padronizado , Split # 0",0.8458340704050946,0.5604438335240878,0.7756697691317762,0.7560947512292994,0.806622147688945
"adult.dat , MLP , Normalizado , Split # 0",0.801963559172121,0.38855715481718545,0.66030887788931,0.6387513488215312,0.7720273781875444
"adult.dat , MlP , Padronizado , Split # 0",0.8402618078896161,0.5549060504259415,0.77610882548493,0.7648340152142368,0.7906733152746881
"adult.dat , MLP , Normalizado , Split # 0",0.8032902883424731,0.41233545757517315,0.6927226006974059,0.671579331521699,0.7477287445781684
"adult.dat , MlP , Padronizado , Split # 0",0.8417654342826818,0.5424823626519798,0.7632466514651944,0.7393913130185871,0.8073285221565504
"adult.dat , MLP , Normalizado , Split # 0",0.8058552980718203,0.443861159211505,0.7180633671147907,0.703316086547507,0.7422493123909144
"adult.dat , MlP , Padronizado , Split # 0",0.8442419954006722,0.5639078098504043,0.7801341557306232,0.7670012365176602,0.7977439563180141
"adult.dat , MLP , Normalizado , Split # 0",0.7794091632761365,0.28048859885815597,0.5768856830604241,0.5773349384897093,0.7543283011076565
"adult.dat , MlP , Padronizado , Split # 0",0.845657173182381,0.5640717823011363,0.7791292830738785,0.7629167497614593,0.8025453645279905
"adult.dat , MLP , Normalizado , Split # 0",0.7931186980364409,0.3491739744499327,0.6309210259211886,0.6152834908944894,0.7643970604272146
"adult.dat , MlP , Padronizado , Split # 0",0.8453033787369538,0.5682904228851962,0.7826261469686324,0.7704586933268335,0.7985243335779599
"adult.dat , MLP , Normalizado , Split # 0",0.793914735538652,0.35524908485197104,0.6400444075377598,0.6225129476794897,0.7575277035581658
"adult.dat , MlP , Padronizado , Split # 0",0.8466301079073059,0.5631423248141784,0.7771806358344056,0.7578203950544666,0.8075098829265637
"adult.dat , MLP , Normalizado , Split # 0",0.7924111091455864,0.3521487306922978,0.6429431717309384,0.6251028612810497,0.747813533716077
"adult.dat , MlP , Padronizado , Split # 0",0.843003714841677,0.5546364261698197,0.7738178846569324,0.7564865977332412,0.7998417538704805
"adult.dat , MLP , Normalizado , Split # 0",0.801079073058553,0.384134191506607,0.6558153703071193,0.6349328913026108,0.7733934544423038
"adult.dat , MlP , Padronizado , Split # 0",0.8397311162214753,0.549579192287663,0.7726288866845594,0.7587381308741303,0.7918368540956316
